sw_0,sw_1,sw_2,sw_3,sw_4,sw_5,sw_6,sw_7,sw_8,sw_9,sw_10,sw_11,sw_12,sw_13,sw_14,sw_15,sw_16,loss
1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0.039697016630263586
1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0.03982820576163172
1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0.039985231914074514
1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0.04058571540528422
1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0.04086111872121866
1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0.040861877397992255
1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0.041029118729755565
1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0.04149415955436453
1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0.042210826116469265
1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0.04261708560137856
1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0.042840805515060705
1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0.04296292020482537
1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0.04344435735282243
1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0.04354343118435416
1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0.043739427456610615
1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0.04421126618872616
1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0.04465335861871603
1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0.04513637392645719
1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0.04528951255993287
1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0.04594744652235393
1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0.04602747153294748
1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0.04606131285502839
1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0.04610784335780191
1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0.04622797711491928
1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0.04634044429443307
1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0.04681880432550856
1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0.04730019739989064
1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0.047620357354128645
1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0.04773705203076707
1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0.04820496754887011
1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0.048624342188256356
1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0.04873477339695077
1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0.049722813028369776
1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0.049742207379885384
1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0.049796144825664954
1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0.0500463878891982
1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0.05026786441794086
1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0.05067232022054016
1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0.05072347741806018
1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0.05095071518983385
1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0.051348222639294124
1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0.05169605853349389
1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0.052169783290867223
1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0.052255456791608784
1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0.052270606095581845
1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0.05298500937536467
1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0.053135470055452765
1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0.05328416114772516
1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0.05338844800291404
1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0.053593428578771946
1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0.053844139048898954
1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0.054140833939077856
1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0.05428020177318128
1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0.054455454304226825
1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0.05484048625123272
1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0.05584591192872377
1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0.05587770478105361
1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0.05591249978085199
1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0.055929200092899624
1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0.05634204433674559
1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0.0565279920927172
1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0.0572303424160599
1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0.057626775673990466
1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0.057740930888487224
1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0.05776502700118825
1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0.057907476087240034
1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0.05835588943366807
1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0.05837719682838334
1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0.05863831847813549
1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0.05879290142978732
1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0.05950325737564377
1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0.05954582144069481
1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0.05995109962284632
1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0.06051446828870117
1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0.06098245515557271
1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0.061242191191715215
1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0.06139218825814757
1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0.061753316247642666
1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0.06177517021983162
1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0.061863618102841106
1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0.0623797758629292
1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0.06291832729179164
1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0.06353714805695959
1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0.06386943923326392
1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0.06416791035354721
1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0.06437620059856153
1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0.06448320904629026
1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0.06488720882503185
1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0.06517465963147723
1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0.06535126735842242
1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0.06535297155793571
1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0.06577291013088277
1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0.06632392337921539
1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0.06662468774197736
1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0.0667025577819245
1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0.06699322411356257
1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0.0673141449557024
1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0.0675178022693735
1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0.06787305033555771
1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0.06787702490711599
1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0.06885730018549033
1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0.06902584839858877
1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0.07015893121552769
1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0.07031421476334582
1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0.07046068857651239
1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0.0725066237833118
1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0.07335914663332777
1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0.07536567126668565
1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0.07557916140752258
1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0.07624880575497477
1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0.07660131928659614
1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0.0769814153292345
1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0.07715862396952411
1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0.07764607229260652
1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0.07866248413162699
1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0.08006008622098527
1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0.08041481133856139
1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0.08090628893496728
1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0.08141958564204643
1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0.08179566375626389
1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0.08217224236446827
